,Country,Target Year,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
96,China,2009,1330776380.0,1338408644.0,1345993891.0,1353569480.0,1361169410.0,71.7,72.2,72.7,73.1,73.5,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,97916885868.0,104000000000.0,111000000000.0,119000000000.0,127000000000.0,4.86286211013794,4.84629487991333,4.45436096191406,4.65273666381836
97,China,2010,1338408644.0,1345993891.0,1353569480.0,1361169410.0,1368810604.0,72.2,72.7,73.1,73.5,73.9,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,104000000000.0,111000000000.0,119000000000.0,127000000000.0,135000000000.0,4.84629487991333,4.45436096191406,4.65273666381836,5.03720760345459
98,China,2011,1345993891.0,1353569480.0,1361169410.0,1368810604.0,1376497633.0,72.7,73.1,73.5,73.9,74.2,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,111000000000.0,119000000000.0,127000000000.0,135000000000.0,145000000000.0,4.45436096191406,4.65273666381836,5.03720760345459,5.09491729736328
99,China,2012,1353569480.0,1361169410.0,1368810604.0,1376497633.0,1384206408.0,73.1,73.5,73.9,74.2,74.4,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,119000000000.0,127000000000.0,135000000000.0,145000000000.0,155000000000.0,4.65273666381836,5.03720760345459,5.09491729736328,5.24109029769897
100,China,2013,1361169410.0,1368810604.0,1376497633.0,1384206408.0,1391883335.0,73.5,73.9,74.2,74.4,74.5,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,127000000000.0,135000000000.0,145000000000.0,155000000000.0,165000000000.0,5.03720760345459,5.09491729736328,5.24109029769897,5.19561910629272
101,China,2014,1368810604.0,1376497633.0,1384206408.0,1391883335.0,1399453966.0,73.9,74.2,74.4,74.5,74.9,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,135000000000.0,145000000000.0,155000000000.0,165000000000.0,175000000000.0,5.09491729736328,5.24109029769897,5.19561910629272,5.30387783050537
102,China,2015,1376497633.0,1384206408.0,1391883335.0,1399453966.0,1406847868.0,74.2,74.4,74.5,74.9,75.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,145000000000.0,155000000000.0,165000000000.0,175000000000.0,184000000000.0,5.24109029769897,5.19561910629272,5.30387783050537,5.32495594024658
108,Colombia,2009,42647731.0,43200901.0,43737512.0,44254972.0,44750054.0,71.4,71.5,71.8,72.4,72.8,145619000000.0,161619000000.0,206182000000.0,242187000000.0,232398000000.0,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,2193592255.0,2255596791.0,2315775631.0,2382425687.0,2454982407.0,6.13841152191162,6.16839504241943,6.27160453796387,6.40811347961426
109,Colombia,2010,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,71.5,71.8,72.4,72.8,73.1,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,2255596791.0,2315775631.0,2382425687.0,2454982407.0,2531260831.0,6.16839504241943,6.27160453796387,6.40811347961426,6.46395254135132
110,Colombia,2011,43737512.0,44254972.0,44750054.0,45222699.0,45662747.0,71.8,72.4,72.8,73.1,73.1,206182000000.0,242187000000.0,232398000000.0,286563000000.0,334944000000.0,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,2315775631.0,2382425687.0,2454982407.0,2531260831.0,2607340606.0,6.27160453796387,6.40811347961426,6.46395254135132,6.37487983703613
